restaurant_id,restaurant_name,raw_menu_item_name,raw_price,raw_category,source_url,source_file,collected_at,notes,price_sgd,price_note,description,address,postal_code,latitude,longitude,restaurant_rating,rating_count,cuisine,target_id,branch_match_status,actual_restaurant_name,actual_address
T003,Udon Don Bar (Create Way),Mala Beef Don.,from S$ 16.10,Beef Donburi,https://www.foodpanda.sg/restaurant/y6ri/udon-don-bar-create-way,,2026-08-03,Foodpanda static browser snapshot,16.1,starting_price,Beef slices cooked in homemade mala sauce on rice,"1 Create Way, #01-12, NUS Town Plaza",138602,1.30375385,103.7744264,4.9,959,Japanese|Asian|Noodles|Rice Dishes,T003,target_branch_match,Udon Don Bar (Create Way),"1 Create Way, #01-12, NUS Town Plaza"
T003,Udon Don Bar (Create Way),Spicy Wafu Cheese Beef Don.,from S$ 16.10,Beef Donburi,https://www.foodpanda.sg/restaurant/y6ri/udon-don-bar-create-way,,2026-08-03,Foodpanda static browser snapshot,16.1,starting_price,Beef slices in spicy wafu sauce with cheese on rice,"1 Create Way, #01-12, NUS Town Plaza",138602,1.30375385,103.7744264,4.9,959,Japanese|Asian|Noodles|Rice Dishes,T003,target_branch_match,Udon Don Bar (Create Way),"1 Create Way, #01-12, NUS Town Plaza"
T003,Udon Don Bar (Create Way),Grilled Pork Belly Don.,from S$ 12.50,Pork Donburi,https://www.foodpanda.sg/restaurant/y6ri/udon-don-bar-create-way,,2026-08-03,Foodpanda static browser snapshot,12.5,starting_price,Grilled pork belly on rice,"1 Create Way, #01-12, NUS Town Plaza",138602,1.30375385,103.7744264,4.9,959,Japanese|Asian|Noodles|Rice Dishes,T003,target_branch_match,Udon Don Bar (Create Way),"1 Create Way, #01-12, NUS Town Plaza"
T003,Udon Don Bar (Create Way),Spicy Garlic Miso Pork Don.,from S$ 12.50,Pork Donburi,https://www.foodpanda.sg/restaurant/y6ri/udon-don-bar-create-way,,2026-08-03,Foodpanda static browser snapshot,12.5,starting_price,Spicy garlic miso pork slices on rice,"1 Create Way, #01-12, NUS Town Plaza",138602,1.30375385,103.7744264,4.9,959,Japanese|Asian|Noodles|Rice Dishes,T003,target_branch_match,Udon Don Bar (Create Way),"1 Create Way, #01-12, NUS Town Plaza"
T003,Udon Don Bar (Create Way),Ginger & Onion Pork Don.,from S$ 12.50,Pork Donburi,https://www.foodpanda.sg/restaurant/y6ri/udon-don-bar-create-way,,2026-08-03,Foodpanda static browser snapshot,12.5,starting_price,Pork slices with ginger and onion on rice,"1 Create Way, #01-12, NUS Town Plaza",138602,1.30375385,103.7744264,4.9,959,Japanese|Asian|Noodles|Rice Dishes,T003,target_branch_match,Udon Don Bar (Create Way),"1 Create Way, #01-12, NUS Town Plaza"
T003,Udon Don Bar (Create Way),Mala Pork Don.,from S$ 12.50,Pork Donburi,https://www.foodpanda.sg/restaurant/y6ri/udon-don-bar-create-way,,2026-08-03,Foodpanda static browser snapshot,12.5,starting_price,Pork slices cooked in homemade mala sauce on rice,"1 Create Way, #01-12, NUS Town Plaza",138602,1.30375385,103.7744264,4.9,959,Japanese|Asian|Noodles|Rice Dishes,T003,target_branch_match,Udon Don Bar (Create Way),"1 Create Way, #01-12, NUS Town Plaza"
T003,Udon Don Bar (Create Way),Spicy Wafu Cheese Pork Don.,from S$ 13.70,Pork Donburi,https://www.foodpanda.sg/restaurant/y6ri/udon-don-bar-create-way,,2026-08-03,Foodpanda static browser snapshot,13.7,starting_price,Pork slices in spicy wafu sauce with cheese on rice,"1 Create Way, #01-12, NUS Town Plaza",138602,1.30375385,103.7744264,4.9,959,Japanese|Asian|Noodles|Rice Dishes,T003,target_branch_match,Udon Don Bar (Create Way),"1 Create Way, #01-12, NUS Town Plaza"
T003,Udon Don Bar (Create Way),Kakiage Don.,from S$ 11.30,Special Donburi,https://www.foodpanda.sg/restaurant/y6ri/udon-don-bar-create-way,,2026-08-03,Foodpanda static browser snapshot,11.3,starting_price,Vegetable fritter with homemade sauce and sous vide egg on rice,"1 Create Way, #01-12, NUS Town Plaza",138602,1.30375385,103.7744264,4.9,959,Japanese|Asian|Noodles|Rice Dishes,T003,target_branch_match,Udon Don Bar (Create Way),"1 Create Way, #01-12, NUS Town Plaza"
T003,Udon Don Bar (Create Way),Shiromi Mentai Don.,from S$ 12.50,Special Donburi,https://www.foodpanda.sg/restaurant/y6ri/udon-don-bar-create-way,,2026-08-03,Foodpanda static browser snapshot,12.5,starting_price,White fish with mentai and ebiko on rice,"1 Create Way, #01-12, NUS Town Plaza",138602,1.30375385,103.7744264,4.9,959,Japanese|Asian|Noodles|Rice Dishes,T003,target_branch_match,Udon Don Bar (Create Way),"1 Create Way, #01-12, NUS Town Plaza"
T003,Udon Don Bar (Create Way),Shiromi Salted Egg Don.,from S$ 12.50,Special Donburi,https://www.foodpanda.sg/restaurant/y6ri/udon-don-bar-create-way,,2026-08-03,Foodpanda static browser snapshot,12.5,starting_price,Salted egg white fish on rice,"1 Create Way, #01-12, NUS Town Plaza",138602,1.30375385,103.7744264,4.9,959,Japanese|Asian|Noodles|Rice Dishes,T003,target_branch_match,Udon Don Bar (Create Way),"1 Create Way, #01-12, NUS Town Plaza"
T003,Udon Don Bar (Create Way),Shiromi Nanban Don.,from S$ 12.50,Special Donburi,https://www.foodpanda.sg/restaurant/y6ri/udon-don-bar-create-way,,2026-08-03,Foodpanda static browser snapshot,12.5,starting_price,White fish with spicy nanban tartar on rice,"1 Create Way, #01-12, NUS Town Plaza",138602,1.30375385,103.7744264,4.9,959,Japanese|Asian|Noodles|Rice Dishes,T003,target_branch_match,Udon Don Bar (Create Way),"1 Create Way, #01-12, NUS Town Plaza"
T003,Udon Don Bar (Create Way),Shiromi Black Pepper Don.,from S$ 12.50,Special Donburi,https://www.foodpanda.sg/restaurant/y6ri/udon-don-bar-create-way,,2026-08-03,Foodpanda static browser snapshot,12.5,starting_price,Black pepper white fish on rice,"1 Create Way, #01-12, NUS Town Plaza",138602,1.30375385,103.7744264,4.9,959,Japanese|Asian|Noodles|Rice Dishes,T003,target_branch_match,Udon Don Bar (Create Way),"1 Create Way, #01-12, NUS Town Plaza"
T003,Udon Don Bar (Create Way),Salmon Mentai Don.,from S$ 16.10,Special Donburi,https://www.foodpanda.sg/restaurant/y6ri/udon-don-bar-create-way,,2026-08-03,Foodpanda static browser snapshot,16.1,starting_price,Salmon with mentai and ebiko on rice,"1 Create Way, #01-12, NUS Town Plaza",138602,1.30375385,103.7744264,4.9,959,Japanese|Asian|Noodles|Rice Dishes,T003,target_branch_match,Udon Don Bar (Create Way),"1 Create Way, #01-12, NUS Town Plaza"
T003,Udon Don Bar (Create Way),Salmon Teriyaki Don.,from S$ 16.10,Special Donburi,https://www.foodpanda.sg/restaurant/y6ri/udon-don-bar-create-way,,2026-08-03,Foodpanda static browser snapshot,16.1,starting_price,Teriyaki salmon on rice,"1 Create Way, #01-12, NUS Town Plaza",138602,1.30375385,103.7744264,4.9,959,Japanese|Asian|Noodles|Rice Dishes,T003,target_branch_match,Udon Don Bar (Create Way),"1 Create Way, #01-12, NUS Town Plaza"
T003,Udon Don Bar (Create Way),Curry Don.,from S$ 10.10,Curry Donburi,https://www.foodpanda.sg/restaurant/y6ri/udon-don-bar-create-way,,2026-08-03,Foodpanda static browser snapshot,10.1,starting_price,Curry gravy on rice,"1 Create Way, #01-12, NUS Town Plaza",138602,1.30375385,103.7744264,4.9,959,Japanese|Asian|Noodles|Rice Dishes,T003,target_branch_match,Udon Don Bar (Create Way),"1 Create Way, #01-12, NUS Town Plaza"
T003,Udon Don Bar (Create Way),Beef Curry Don.,from S$ 13.70,Curry Donburi,https://www.foodpanda.sg/restaurant/y6ri/udon-don-bar-create-way,,2026-08-03,Foodpanda static browser snapshot,13.7,starting_price,Beef slices and curry gravy on rice,"1 Create Way, #01-12, NUS Town Plaza",138602,1.30375385,103.7744264,4.9,959,Japanese|Asian|Noodles|Rice Dishes,T003,target_branch_match,Udon Don Bar (Create Way),"1 Create Way, #01-12, NUS Town Plaza"
T003,Udon Don Bar (Create Way),Chicken Katsu Curry Don.,from S$ 13.70,Curry Donburi,https://www.foodpanda.sg/restaurant/y6ri/udon-don-bar-create-way,,2026-08-03,Foodpanda static browser snapshot,13.7,starting_price,Chicken katsu and curry gravy on rice,"1 Create Way, #01-12, NUS Town Plaza",138602,1.30375385,103.7744264,4.9,959,Japanese|Asian|Noodles|Rice Dishes,T003,target_branch_match,Udon Don Bar (Create Way),"1 Create Way, #01-12, NUS Town Plaza"
T003,Udon Don Bar (Create Way),Chicken Karaage Curry Don.,from S$ 12.50,Curry Donburi,https://www.foodpanda.sg/restaurant/y6ri/udon-don-bar-create-way,,2026-08-03,Foodpanda static browser snapshot,12.5,starting_price,Chicken karaage and curry gravy on rice,"1 Create Way, #01-12, NUS Town Plaza",138602,1.30375385,103.7744264,4.9,959,Japanese|Asian|Noodles|Rice Dishes,T003,target_branch_match,Udon Don Bar (Create Way),"1 Create Way, #01-12, NUS Town Plaza"
T003,Udon Don Bar (Create Way),Minced Katsu Curry Rice.,from S$ 13.70,Curry Donburi,https://www.foodpanda.sg/restaurant/y6ri/udon-don-bar-create-way,,2026-08-03,Foodpanda static browser snapshot,13.7,starting_price,Katsu (beef & pork) and curry gravy on rice,"1 Create Way, #01-12, NUS Town Plaza",138602,1.30375385,103.7744264,4.9,959,Japanese|Asian|Noodles|Rice Dishes,T003,target_branch_match,Udon Don Bar (Create Way),"1 Create Way, #01-12, NUS Town Plaza"
