"restaurant_id","restaurant_name","address","nea_grade","demerit_points","source_type","menu_source_url","menu_file","menu_status","notes"
"R033","NIWA SUSHI PTE. LTD.","1 LOWER KENT RIDGE ROAD #01-18 ONE @ KENTRIDGE SINGAPORE 119082","A","na","manual_or_html","","","to_find",""
"R034","JUZ BREAD HOLDING PTE. LTD.","1 LOWER KENT RIDGE ROAD #01-23 ONE@KENTRIDGE SINGAPORE 119082","B","na","manual_or_html","","","to_find",""
"R035","JUZ BREAD HOLDING PTE. LTD.","1 LOWER KENT RIDGE ROAD #01-24 ONE@KENTRIDGE SINGAPORE 119082","B","na","manual_or_html","","","to_find",""
"R036","CHEERS HOLDINGS (2004) PTE. LTD.","1 LOWER KENT RIDGE ROAD #01-28 ONE @ KENTRIDGE SINGAPORE 119082","A","na","manual_or_html","","","to_find",""
"R037","YOGURT KENT RIDGE PTE. LTD.","1 LOWER KENT RIDGE ROAD #01-37 ONE@KENTRIDGE SINGAPORE 119082","A","na","manual_or_html","","","to_find",""
"R038","JUZ BREAD HOLDING PTE. LTD.","1 LOWER KENT RIDGE ROAD #02-04/05/06 ONE@ KENTRIDGE SINGAPORE 119082","B","na","manual_or_html","","","to_find",""
"R039","MINOR FOOD GROUP (SINGAPORE) PTE. LTD.","1 LOWER KENT RIDGE ROAD #02-10 ONE@KENTRIDGE SINGAPORE 119082","A","na","manual_or_html","","","to_find",""
"R040","MINOR FOOD GROUP (SINGAPORE) PTE. LTD.","1 LOWER KENT RIDGE ROAD #02-11/12 ONE@KENTRIDGE SINGAPORE 119082","A","na","manual_or_html","","","to_find",""
"R041","COLD STORAGE SINGAPORE (1983) PTE LTD","1 LOWER KENT RIDGE ROAD #03-05/06 ONE@KENTRIDGE SINGAPORE 119082","A","na","manual_or_html","","","to_find",""
"R042","BURGER KING SINGAPORE PTE. LTD.","1 LOWER KENT RIDGE ROAD #03-11 SINGAPORE 119082","A","na","manual_or_html","","","to_find",""
"R043","STARBUCKS COFFEE SINGAPORE PTE. LTD.","1 LOWER KENT RIDGE ROAD #03-12 ONE@KENT RIDGE SINGAPORE 119082","A","na","manual_or_html","","","to_find",""
"R044","DELIFRANCE SINGAPORE PTE LTD?","1 LOWER KENT RIDGE ROAD #04-11/12 ONE@KENTRIDGE SINGAPORE 119082","A","na","manual_or_html","","","to_find",""
"R045","ONION RESTAURANT & BAR PTE. LTD.","1 LOWER KENT RIDGE ROAD #04-18/19 ONE @ KENTRIDGE SINGAPORE 119082","A","na","manual_or_html","","","to_find",""
"R046","COPITIAM PTE. LTD.","1 LOWER KENT RIDGE ROAD #05-01 ONE@KENTRIDGE SINGAPORE 119082","A","na","manual_or_html","","","to_find",""
"R047","GIAM GEK HWEE","1 LOWER KENT RIDGE ROAD #05-01 ONE@KENTRIDGE SINGAPORE 119082","A","na","manual_or_html","","","to_find",""
