"licensee_name","licence_number","premises_address","grade","demerit_points","suspension_start_date","suspension_end_date"
"ER SIEW KIANG","CL401164002","CLEMENTI WEST ST 2 BLK 726 Stall No 01-164","A","na","na","na"
"KASHMIR KAUR","CL401165001","CLEMENTI WEST ST 2 BLK 726 Stall No 01-165","B","na","na","na"
"NG KIM ENG","CL401166002","CLEMENTI WEST ST 2 BLK 726 Stall No 01-166","B","na","na","na"
"LEE MOON FUEN","CL401167002","CLEMENTI WEST ST 2 BLK 726 Stall No 01-167","B","na","na","na"
"ANG AH GEOK","CL401168002","CLEMENTI WEST ST 2 BLK 726 Stall No 01-168","B","na","na","na"
"JOO KEE HOCK","CL401169001","CLEMENTI WEST ST 2 BLK 726 Stall No 01-169","A","na","na","na"
"GOH SWEE ENG","CL401170001","CLEMENTI WEST ST 2 BLK 726 Stall No 01-170","B","na","na","na"
"QUEK CHOON HENG","CL401171002","CLEMENTI WEST ST 2 BLK 726 Stall No 01-171","A","na","na","na"
"AU CHWEE KOON","CL401172001","CLEMENTI WEST ST 2 BLK 726 Stall No 01-172","A","na","na","na"
"SIA CHOON HONG","CL401173001","CLEMENTI WEST ST 2 BLK 726 Stall No 01-173","B","na","na","na"
"NGO CHON KI","CL401174001","CLEMENTI WEST ST 2 BLK 726 Stall No 01-174","A","na","na","na"
"NG NIK","CL401175001","CLEMENTI WEST ST 2 BLK 726 Stall No 01-175","B","na","na","na"
"RASIDKHAN MOHAMED FAISER","CL401176003","CLEMENTI WEST ST 2 BLK 726 Stall No 01-176","B","na","na","na"
"MARIAM BTE ISMAIL","CL401177003","CLEMENTI WEST ST 2 BLK 726 Stall No 01-177","B","na","na","na"
"MOHD ZAIRUDDIN BIN ONAN","CL401178001","CLEMENTI WEST ST 2 BLK 726 Stall No 01-178","B","na","na","na"
"CHIA YONG KWEE","CL401179003","CLEMENTI WEST ST 2 BLK 726 Stall No 01-179","B","na","na","na"
"GOH KHIM CHOON","CL401180002","CLEMENTI WEST ST 2 BLK 726 Stall No 01-180","B","na","na","na"
"CHONG CHEE WAI","CL401181001","CLEMENTI WEST ST 2 BLK 726 Stall No 01-181","B","na","na","na"
"HENG HAN WEI","CL401183002","CLEMENTI WEST ST 2 BLK 726 Stall No 01-183","B","na","na","na"
"HENG PENG SOON","CL401184001","CLEMENTI WEST ST 2 BLK 726 Stall No 01-184","B","na","na","na"
"CHUA SIEW CHEOW","CL401185002","CLEMENTI WEST ST 2 BLK 726 Stall No 01-185","B","na","na","na"
"ANG AI CHEOW","CL401186002","CLEMENTI WEST ST 2 BLK 726 Stall No 01-186","B","na","na","na"
"AW KEONG HUAT","CL401187001","CLEMENTI WEST ST 2 BLK 726 Stall No 01-187","A","na","na","na"
"QUEK KOK SENG","CL401188002","CLEMENTI WEST ST 2 BLK 726 Stall No 01-188","A","na","na","na"
"TAY POH HIN","CL401189002","CLEMENTI WEST ST 2 BLK 726 Stall No 01-189","A","na","na","na"
"HENG HAN CHENG","CL401190004","CLEMENTI WEST ST 2 BLK 726 Stall No 01-190","A","na","na","na"
"ZHANG LIZHI","CL401191003","CLEMENTI WEST ST 2 BLK 726 Stall No 01-191","A","na","na","na"
"GOH KIM NOI","CL401192001","CLEMENTI WEST ST 2 BLK 726 Stall No 01-192","B","na","na","na"
"TAN SIEW KEE","CL401193002","CLEMENTI WEST ST 2 BLK 726 Stall No 01-193","B","na","na","na"
"ONG AH GEK","CL401194003","CLEMENTI WEST ST 2 BLK 726 Stall No 01-194","B","na","na","na"
"WANG AH TEE","CL401195001","CLEMENTI WEST ST 2 BLK 726 Stall No 01-195","B","na","na","na"
"RAHMAH BTE ABD RAHMAN","PPF0101001","PASIR PANJANG FOOD CENTRE Stall No 01-01","B","na","na","na"
"SUPHAPORN PANJATHITIPORN","PPF0102004","PASIR PANJANG FOOD CENTRE Stall No 01-02","B","na","na","na"
"SEAH BEE ENG","PPF0103002","PASIR PANJANG FOOD CENTRE Stall No 01-03","B","na","na","na"
"ANTHONY TAY SENG BOON","PPF0105002","PASIR PANJANG FOOD CENTRE Stall No 01-05","B","na","na","na"
"SOON POH GEOK","PPF0106005","PASIR PANJANG FOOD CENTRE Stall No 01-06","B","na","na","na"
"CHEE YEW KHUEN","PPF0107006","PASIR PANJANG FOOD CENTRE Stall No 01-07","B","na","na","na"
