restaurant_menu_id,restaurant_id,restaurant_name,dish_id,dish_name,menu_item_name,price_sgd,distance_km,acceptance_probability,user_cf_score,item_cf_score,user_preference_score,price_budget_ratio,match_confidence,source_reliability,reason_codes
RM001036,T028,Starbucks,D195850,spinach mushroom quiche,Spinach & Mushroom Quiche,7.4,1.5704327530769637,0.9520940369282718,1.0,0.8,0.888888888888889,0.37,1.0,medium_brand_reference,similar_users_liked|similar_to_user_history|matches_user_profile|comfortably_within_budget|nearby
RM001045,T028,Starbucks,D195850,spinach mushroom quiche,Spinach & Mushroom Quiche,7.0,1.5704327530769637,0.9520940369282718,1.0,0.8,0.888888888888889,0.35,1.0,medium_brand_reference,similar_users_liked|similar_to_user_history|matches_user_profile|comfortably_within_budget|nearby
RM001958,T041,Toasties,D043439,chicken katsu,Chicken Katsu,7.4,1.3199725523142751,0.9519537011026608,1.0,0.8,0.888888888888889,0.37,1.0,medium_brand_reference,similar_users_liked|similar_to_user_history|matches_user_profile|comfortably_within_budget|nearby
RM001959,T041,Toasties,D043439,chicken katsu,Chicken Katsu Set Meal,10.4,1.3199725523142751,0.9519537011026608,1.0,0.8,0.888888888888889,0.52,1.0,medium_brand_reference,similar_users_liked|similar_to_user_history|matches_user_profile|comfortably_within_budget|nearby
RM001986,T040,Hawkers' Street,D067511,curry rice,Signature Curry Rice,8.9,1.6405244289866607,0.9478504456491879,1.0,0.8,0.7777777777777777,0.445,1.0,medium_brand_reference,similar_users_liked|similar_to_user_history|matches_user_profile|comfortably_within_budget|nearby
